compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
16672-87-0,0,1.859255532,3.193709283,3.08066977,2.942367072,0,0,0,0,0,0,0,0,0,2.58E-05,0.217266166,0.511002402,0.570414226,0.623283193,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05,2.58E-05
16752-77-5,4.173438555,4.008670326,7.217513932,5.096124098,6.4319162,0,4.411416805,4.390523515,0,4.653764949,0,1.21006745,0,0,0.229283506,0.222284818,0.071907079,0.228288544,0.132859122,0.005380536,0.23574134,0.235356402,0.005380536,0.23754975,0.005380536,0.030164012,0.005380536,0.005380536
17109-49-8,5.236600375,2.058103046,6.713721629,4.889812888,0,0,3.336536842,4.810631642,0,0,0,0,0,0,0.223321958,0.078071736,0.097060758,0.240490676,0.004981605,0.004981605,0.190034567,0.243011899,0.004981605,0.004981605,0.004981605,0.004981605,0.004981605,0.004981605
17804-35-2,3.783978142,3.46287875,5.656698776,5.83962946,0.791335665,5.61778071,0,0,0,4.707003895,4.46287875,0,0,0,0.228719352,0.211727844,0.171081867,0.155399031,0.026361564,0.174345805,0.008678348,0.008678348,0.008678348,0.232153189,0.238252542,0.008678348,0.008678348,0.008678348
18181-80-1,5.631565111,2.330535115,0,0,4.265142154,0,0,5.251353869,0,0,0,0,0,0,0.187530872,0.104105065,0.003384103,0.003384103,0.269547593,0.003384103,0.003384103,0.226085359,0.003384103,0.003384103,0.003384103,0.003384103,0.003384103,0.003384103
18584-79-7,0,3.007768213,2.591148249,3.135216293,0,0,0,0,0,0,0,0,0,0,2.60E-23,1.323819241,0.744279639,1.028910613,2.60E-23,2.60E-23,2.60E-23,2.60E-23,2.60E-23,2.60E-23,2.60E-23,2.60E-23,2.60E-23,2.60E-23
18854-01-8,4.416789545,0,8.541728282,5.382027439,5.566551865,0,0,0,0,0,0,0,0,0,0.152598328,0.000811241,0.079490555,0.211666778,0.217932931,0.000811241,0.000811241,0.000811241,0.000811241,0.000811241,0.000811241,0.000811241,0.000811241,0.000811241
19044-88-3,0,2.834773567,5.539524471,5.026306871,0,0,0,0,0,0,0,0,0,0,0.00220825,0.145646845,0.210146111,0.257430409,0.00220825,0.00220825,0.00220825,0.00220825,0.00220825,0.00220825,0.00220825,0.00220825,0.00220825,0.00220825
19398-13-1,0,1.8688462,4.567816205,5.775424515,0,0,0,5.716557856,0,0,0,0,0,0,0.01082257,0.078581877,0.217910692,0.169886116,0.01082257,0.01082257,0.01082257,0.173707716,0.01082257,0.01082257,0.01082257,0.01082257,0.01082257,0.01082257
19406-51-0,3.939301499,0,5.177525486,4.455947691,0,0,0,0,0,5.817675527,0,0,0,0,0.263587492,1.38E-08,0.447659088,0.433147825,1.38E-08,1.38E-08,1.38E-08,1.38E-08,1.38E-08,0.24191926,1.38E-08,1.38E-08,1.38E-08,1.38E-08
19666-30-9,5.090943955,2.593619315,5.538101987,5.516912688,2.575259305,0,0,0,0,0,0,0,0,0,0.223918646,0.143999703,0.183771593,0.185852461,0.142146923,0.0056807,0.0056807,0.0056807,0.0056807,0.0056807,0.0056807,0.0056807,0.0056807,0.0056807
19902-04-6,0,0,5.620079031,6.251327411,4.832972938,0,0,5.759741024,0,5.101565091,0,0,0,0,5.24E-22,5.24E-22,0.700928538,0.298351093,0.340371954,5.24E-22,5.24E-22,0.647650779,5.24E-22,0.544307379,5.24E-22,5.24E-22,5.24E-22,5.24E-22
19937-59-8,0,0,3.155104213,3.553044221,0,0,0,0,0,2.715771519,0,0,0,0,5.79E-13,5.79E-13,0.952051867,0.587513544,5.79E-13,5.79E-13,5.79E-13,5.79E-13,5.79E-13,0.568480938,5.79E-13,5.79E-13,5.79E-13,5.79E-13
20354-26-1,0,1.667010672,4.28964219,5.018806979,0,0,0,0,0,0,0,0,0,0,0.026265905,0.119554626,0.212262776,0.168034785,0.026265905,0.026265905,0.026265905,0.026265905,0.026265905,0.026265905,0.026265905,0.026265905,0.026265905,0.026265905
20679-58-7,0,3.226221807,6.138266637,6.156750043,0,0,0,0,0,0,0,0,0,0,0.002141047,0.12144204,0.200852452,0.199585679,0.002141047,0.002141047,0.002141047,0.002141047,0.002141047,0.002141047,0.002141047,0.002141047,0.002141047,0.002141047
21087-64-9,3.498482453,2.632021362,3.78247911,3.707742076,0,0,0,0,0,0,6.774688865,0,0,0,0.236650219,0.166082933,0.248835784,0.246344734,0.008855159,0.008855159,0.008855159,0.008855159,0.008855159,0.008855159,0.058558401,0.008855159,0.008855159,0.008855159
21145-77-7,0,0,5.561038867,6.412297215,5.749539384,0,0,5.755241362,0,3.005416545,0,0,0,2.5298296,0.003070182,0.003070182,0.221170312,0.153268545,0.208742498,0.003070182,0.003070182,0.208334476,0.003070182,0.130403502,0.003070182,0.003070182,0.003070182,0.090246685
21564-17-0,0,2.557093676,7.069700533,7.054977276,0,0,0,4.201105312,0,0,0,0,0,0,0.011544719,0.087658191,0.126860605,0.127554243,0.011544719,0.011544719,0.011544719,0.161146293,0.011544719,0.011544719,0.011544719,0.011544719,0.011544719,0.011544719
21609-90-5,4.438874047,2.490135157,8.115278224,7.313935311,0,0,0,4.123603613,0,0,0,0,0,0,0.159102692,0.083143183,0.082605745,0.117492524,0.013283674,0.013283674,0.013283674,0.150109849,0.013283674,0.013283674,0.013283674,0.013283674,0.013283674,0.013283674
21725-46-2,3.49837353,2.001255647,4.633278861,4.302285642,0,0,0,4.080436893,0,0,6.220098886,0,0,0,0.26029957,0.089087119,0.269201545,0.28573419,0.003421586,0.003421586,0.003421586,0.288016493,0.003421586,0.003421586,0.091460177,0.003421586,0.003421586,0.003421586
22204-53-1,0,0,6.857073803,0,0,3.584072531,0,0,0,3.663253777,3.76016379,0,0,0,0.004973808,0.004973808,0.0813589,0.004973808,0.004973808,0.21459962,0.004973808,0.004973808,0.004973808,0.220296988,0.226715149,0.004973808,0.004973808,0.004973808
22224-92-6,0,4.105374916,7.649442961,6.649442961,0,5.004830619,4.226679368,0,0,4.408600171,0,0,0,0,0.000366589,0.19068266,0.078993878,0.182614094,0.000366589,0.264543455,0.203696546,0.000366589,0.000366589,0.222041456,0.000366589,0.000366589,0.000366589,0.000366589
22248-79-9,4.65495394,1.864468955,0,5.628940508,5.338129677,0,2.308166454,0,0,0,0,0,0,0,0.210361065,0.111458009,0.017753435,0.144564753,0.16701131,0.017753435,0.146076258,0.017753435,0.017753435,0.017753435,0.017753435,0.017753435,0.017753435,0.017753435
22431-62-5,0,2.357557771,0,9.482496508,7.837401884,0,0,0,0,0,0,0,0,0,0.022795262,0.056713888,0.022795262,0.078667791,0.100843572,0.022795262,0.022795262,0.022795262,0.022795262,0.022795262,0.022795262,0.022795262,0.022795262,0.022795262
22781-23-3,0,4.857386974,7.522673866,5.409229416,6.069995067,0,0,0,0,0,0,0,0,0,5.08E-07,0.218182546,0.138669626,0.308528394,0.345218827,5.08E-07,5.08E-07,5.08E-07,5.08E-07,5.08E-07,5.08E-07,5.08E-07,5.08E-07,5.08E-07
