compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
82558-50-7,0,0,5.517339641,5.898411725,0,0,2.822691011,0,0,0,5.000000523,0,0,5.781298326,5.003948245,1.267458825,0.000129819,0.000129819,0.289967174,0.245374748,0.000129819,0.000129819,0.071588595,0.000129819,0.000129819,0.000129819,0.314756059,0.000129819
82657-04-3,0,0,11.14908952,6.927240774,8.910207435,0,0,0,0,0,0,0,0,0,8.995512577,2.112216713,2.18E-05,2.18E-05,0.112314798,0.116940758,0.188719774,2.18E-05,2.18E-05,2.18E-05,2.18E-05,2.18E-05,2.18E-05,2.18E-05
83055-99-6,0,0,4.121846505,3.534026953,0,0,0,0,0,0,0,0,0,7.21526819,4.957047216,1.9776386,0.008719138,0.008719138,0.184515821,0.155715925,0.008719138,0.008719138,0.008719138,0.008719138,0.008719138,0.008719138,0.008719138,0.008719138
83121-18-0,0,0,5.581053991,0,9.581053991,7.280023995,0,0,0,0,0,0,0,0,7.480710659,2.007537385,0.000191898,0.000191898,0.127001883,0.000191898,0.114963037,0.197731747,0.000191898,0.000191898,0.000191898,0.000191898,0.000191898,0.000191898
84087-01-4,9.985984814,0,3.342532138,5.44440557,0,0,0,0,0,0,0,0,0,7.684954819,6.614469335,2.862846953,0.06965371,0.009659162,0.072522307,0.128185666,0.009659162,0.009659162,0.009659162,0.009659162,0.009659162,0.009659162,0.009659162,0.009659162
84852-15-3,0,0,7,7.343120938,6.644150934,0,0,9.479798078,0,8.343120938,0,0,0,0,7.762038178,1.150458819,4.52E-11,4.52E-11,0.278462626,0.324524284,0.216278503,4.52E-11,4.52E-11,0.113746164,4.52E-11,0.305240212,4.52E-11,4.52E-11
85721-33-1,3.520286975,0,5.122346966,5.000004456,0,0,0,0,0,0,4.821316971,0,0,6.04316572,4.901424218,0.9049939,0.137566754,1.88E-07,0.427882109,0.438215605,1.88E-07,1.88E-07,1.88E-07,1.88E-07,1.88E-07,1.88E-07,0.439099571,1.88E-07
86386-73-4,0,0,0,6.185088643,0,3.903097502,0,0,0,0,4.823916256,0,0,0,4.9707008,1.14805495,2.95E-05,2.95E-05,2.95E-05,0.198601421,2.95E-05,0.225510948,2.95E-05,2.95E-05,2.95E-05,2.95E-05,0.344665415,2.95E-05
86393-32-0,0,0,4.586386988,0,0,0,0,8.683297001,0,0,5.887416984,0,0,0,6.385700324,2.093414108,0.001817793,0.001817793,0.131715004,0.001817793,0.001817793,0.001817793,0.001817793,0.104347657,0.001817793,0.001817793,0.185247486,0.001817793
86479-06-3,0,0,10.96486957,0,6.964869572,6.487748317,0,0,0,0,0,0,0,0,8.139162487,2.45873475,0.000677131,0.000677131,0.083829015,0.000677131,0.144766014,0.129491033,0.000677131,0.000677131,0.000677131,0.000677131,0.000677131,0.000677131
87392-12-9,4.336404647,0,4.453012391,3.990614393,0,0,0,0,0,0,4.379294041,7.24189185,0,0,4.880243464,1.332109263,0.275535787,0.000364681,0.284468695,0.2396193,0.000364681,0.000364681,0.000364681,0.000364681,0.000364681,0.000364681,0.279036779,0.062210886
87674-68-8,0,0,5.336790541,6.06038302,0,0,0,0,0,0,8.655264427,0,0,0,6.684145996,1.744957713,0.000148902,0.000148902,0.169691936,0.214475491,0.000148902,0.000148902,0.000148902,0.000148902,0.000148902,0.000148902,0.120793099,0.000148902
88671-89-0,4.943386253,0,6.869517544,4.241103447,0,6.460582151,0,0,0,0,5.284490892,0,0,0,5.559816057,1.086449508,0.312605378,7.56E-07,0.177558732,0.175786221,7.56E-07,0.260396458,7.56E-07,7.56E-07,7.56E-07,7.56E-07,0.355594671,7.56E-07
91465-08-6,8.912711021,0,11.65307371,6.954103706,11.65307371,10.65307371,0,7.703683704,0,9.255133702,0,0,0,0,9.540693323,1.85753637,0.202840326,4.01E-07,0.112500746,0.081455745,0.112500746,0.179514629,4.01E-07,0.131703757,4.01E-07,0.212246676,4.01E-07,4.01E-07
94361-06-5,0,0,7.186301472,4.189094677,0,6.465055073,0,0,0,0,0,0,0,0,5.946817074,1.564365722,0.000185616,0.000185616,0.186316658,0.135652578,0.000185616,0.241402134,0.000185616,0.000185616,0.000185616,0.000185616,0.000185616,0.000185616
95266-40-3,0,0,4.939467609,5.49877562,0,0,0,0,0,0,0,0,0,6.271531839,5.569925023,0.668876264,5.22E-16,5.22E-16,0.382512482,0.593071809,5.22E-16,5.22E-16,5.22E-16,5.22E-16,5.22E-16,5.22E-16,5.22E-16,5.22E-16
95737-68-1,0,0,9.808042085,7.360884054,8.50701209,0,0,0,0,8.904952098,0,0,0,0,8.645222582,1.014599463,6.74E-17,6.74E-17,0.203886781,0.176465429,0.389570422,6.74E-17,6.74E-17,6.74E-17,6.74E-17,0.380526886,6.74E-17,6.74E-17
96182-53-5,9.502932274,0,10.22417867,6.0796864,0,0,0,0,0,5.923148677,0,0,0,0,7.932486506,2.250071083,0.138973762,0.000354693,0.105550148,0.126321172,0.000354693,0.000354693,0.000354693,0.000354693,0.000354693,0.118999676,0.000354693,0.000354693
99129-21-2,0,0,5.079084725,7.051056002,0,0,0,0,0,0,3.000010498,0,0,0,5.043383742,2.025758707,0.008879551,0.008879551,0.196904168,0.120513385,0.008879551,0.008879551,0.008879551,0.008879551,0.008879551,0.008879551,0.118408364,0.008879551
99685-96-8,0,0,6.556302501,6.158362492,0,0,0,6.556302501,0,0,0,0,0,0,6.423655831,0.229750771,3.10E-170,3.10E-170,1.469842073,0.891504282,3.10E-170,3.10E-170,3.10E-170,1.469842073,3.10E-170,3.10E-170,3.10E-170,3.10E-170
100646-51-3,0,2.558650328,5.288186324,6.652409461,0,0,0,0,0,0,0,0,0,0,4.833082038,2.084479765,0.013018044,0.105532462,0.186879394,0.130766102,0.013018044,0.013018044,0.013018044,0.013018044,0.013018044,0.013018044,0.013018044,0.013018044
100784-20-1,0,0,5.383027518,5.094231979,0,0,0,0,0,0,5.638300023,0,0,7.258088781,5.843412075,0.968952337,5.21E-09,5.21E-09,0.367777923,0.305346908,5.21E-09,5.21E-09,5.21E-09,5.21E-09,5.21E-09,5.21E-09,0.402603203,5.21E-09
100986-85-4,3.869677171,0,4.869677171,0,0,0,0,0,0,0,0,6.392555917,0,7.392555917,5.631116544,1.56683515,0.135347264,0.000399135,0.2262576,0.000399135,0.000399135,0.000399135,0.000399135,0.000399135,0.000399135,0.000399135,0.000399135,0.2262576
101043-37-2,2.696873128,0,7.298933119,9.298933119,0,6.696873128,0,7.479389183,0,0,6.520781869,0,0,9.298933119,7.041530952,2.225448458,0.026660829,0.001200945,0.178068681,0.107167914,0.001200945,0.177126781,0.001200945,0.175827413,0.001200945,0.001200945,0.174422569,0.001200945
101200-48-0,0,0,4.149866771,4.525142795,0,0,0,0,0,0,0,0,0,7.597024802,5.424011456,1.891216084,0.003451742,0.003451742,0.168115174,0.188415243,0.003451742,0.003451742,0.003451742,0.003451742,0.003451742,0.003451742,0.003451742,0.003451742
103055-07-8,0,3.407522618,9.164484569,6.667159928,8.231431359,9.164484569,0,6.018356533,0,8.708552613,0,0,0,0,7.337427456,2.120882727,0.000473565,0.033793188,0.129791212,0.178939211,0.172111571,0.129791212,0.000473565,0.155023545,0.000473565,0.152629134,0.000473565,0.000473565
103361-09-7,0,0,6.793541526,7.345296399,0,0,0,0,0,0,0,0,0,6.850446377,6.9964281,0.303465579,4.98E-116,4.98E-116,1.051332843,0.678916119,4.98E-116,4.98E-116,4.98E-116,4.98E-116,4.98E-116,4.98E-116,4.98E-116,4.98E-116
104040-78-0,0,0,4.200344447,3.986690176,0,0,0,0,0,0,7.609939467,0,0,7.609939467,5.851728389,2.03208012,0.003106496,0.003106496,0.141111614,0.128841194,0.003106496,0.003106496,0.003106496,0.003106496,0.003106496,0.003106496,0.135023346,0.003106496
104206-82-8,0,0,3.05348718,4.168880598,0,0,0,0,0,0,6.229578439,0,0,0,4.483982072,1.611321081,0.005154027,0.005154027,0.166948896,0.242897982,0.005154027,0.005154027,0.005154027,0.005154027,0.005154027,0.005154027,0.13768353,0.005154027
107534-96-3,6.401940248,0,5.875516222,6.488300079,0,6.721515563,0,7.488300079,0,5.31220882,5.011178824,6.721515563,0,0,6.252559425,0.81172036,0.483225116,6.42E-14,0.441216869,0.47118177,6.42E-14,0.415935203,6.42E-14,0.154255035,6.42E-14,0.251236356,0.152628293,0.415935203
110488-70-5,0,0,6.246254664,8.588677345,0,0,0,0,0,0,0,0,0,7.287647349,7.374193119,1.173607103,9.08E-10,9.08E-10,0.214195831,0.19899861,9.08E-10,9.08E-10,9.08E-10,9.08E-10,9.08E-10,9.08E-10,9.08E-10,9.08E-10
111755-37-4,2.714985659,0,0,7.618075646,0,0,0,0,0,0,7.016015654,0,0,7.016015654,6.091273153,2.268681003,0.058103426,0.004783468,0.004783468,0.140212555,0.004783468,0.004783468,0.004783468,0.004783468,0.004783468,0.004783468,0.161829645,0.004783468
111988-49-9,0,3.660702082,6.921198531,5.123887559,7.40264116,0,0,5.2265499,0,5.938748171,0,0,0,0,5.7122879,1.353602899,4.00E-05,0.093452393,0.197794357,0.268155847,0.135141206,4.00E-05,4.00E-05,0.27634798,4.00E-05,0.290630279,4.00E-05,4.00E-05
112226-61-6,0,0,6.803579618,5.532811227,5.720242412,0,0,0,0,0,0,0,0,0,6.018877752,0.686003189,1.12E-17,1.12E-17,0.302313571,0.452446383,0.528971833,1.12E-17,1.12E-17,1.12E-17,1.12E-17,1.12E-17,1.12E-17,1.12E-17
112410-23-8,0,2.758253696,6.798940785,5.695870463,6.768977562,4.246098816,0,0,0,0,0,0,0,0,5.253628265,1.740823244,0.002412352,0.082029273,0.154541284,0.221891816,0.156897411,0.193828457,0.002412352,0.002412352,0.002412352,0.002412352,0.002412352,0.002412352
114247-09-5,0,0,5.905501166,6.307509537,0,0,0,9.662897195,0,0,0,0,0,0,7.291969299,2.063098882,0.000374694,0.000374694,0.154283865,0.172562495,0.000374694,0.000374694,0.000374694,0.099909932,0.000374694,0.000374694,0.000374694,0.000374694
114370-14-8,5.075435797,0,7.529694168,6.529694168,0,0,0,0,0,0,2.342607525,0,0,0,5.369357915,2.255440909,0.175384379,0.010399781,0.111804188,0.15495523,0.010399781,0.010399781,0.010399781,0.010399781,0.010399781,0.010399781,0.071881562,0.010399781
115104-28-4,0,0,5.300211505,4.823090251,0,5.300211505,0,0,0,0,0,0,0,0,5.141171087,0.275466085,3.33E-76,3.33E-76,1.225912619,0.74355359,3.33E-76,1.225912619,3.33E-76,3.33E-76,3.33E-76,3.33E-76,3.33E-76,3.33E-76
117428-22-5,7.205398783,0,0,6.712564582,0,0,0,0,0,0,7.388953317,0,0,0,7.102305561,0.349780773,1.092070347,3.38E-90,3.38E-90,0.613080384,3.38E-90,3.38E-90,3.38E-90,3.38E-90,3.38E-90,3.38E-90,0.815229486,3.38E-90
