compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
99-08-1,0,0,4.27,0,0,3.44,0,0,0,0,3.99,0,0,0,3.00E-19,3.00E-19,0.65,3.00E-19,3.00E-19,0.52,3.00E-19,3.00E-19,3.00E-19,3.00E-19,0.92,3.00E-19,3.00E-19,3.00E-19
99-09-2,0,0,5.15,0,0,0,0,0,0,0,3.38,0,0,3.3,0,0,0.2,0,0,0,0,0,0,0,0.33,0,0,0.32
99-10-5,0,0,2.4,0,0,0,0,0,0,0,2.8,0,0,2.34,1.95E-22,1.95E-22,1.44,1.95E-22,1.95E-22,1.95E-22,1.95E-22,1.95E-22,1.95E-22,1.95E-22,0.83,1.95E-22,1.95E-22,1.25
99-30-9,0,0,5,4.22,0,0,0,4.95,0,0,5.2,4.59,0,0,7.87E-34,7.87E-34,0.89,0.35,7.87E-34,7.87E-34,7.87E-34,0.94,7.87E-34,7.87E-34,0.59,0.89,7.87E-34,7.87E-34
99-35-4,0,0,4.9,0,0,5.66,0,0,0,4.29,6.85,0,0,1.56,0.01,0.01,0.2,0.01,0.01,0.18,0.01,0.01,0.01,0.2,0.11,0.01,0.01,0.06
99-50-3,0,0,2.62,0,0,0,0,0,0,0,2.76,0,0,2.36,1.08E-34,1.08E-34,1.91,1.08E-34,1.08E-34,1.08E-34,1.08E-34,1.08E-34,1.08E-34,1.08E-34,1.31,1.08E-34,1.08E-34,1.08
99-65-0,0,0,3.79,0,0,3.26,0,0,0,4.69,5.62,0,0,0,6.22E-05,6.22E-05,0.33,6.22E-05,6.22E-05,0.22,6.22E-05,6.22E-05,6.22E-05,0.36,0.18,6.22E-05,6.22E-05,6.22E-05
99-76-3,3.67,0,4.13,0,0,3.45,0,0,0,0,3.29,0,0,0,1.08,4.41E-22,0.44,4.41E-22,4.41E-22,0.96,4.41E-22,4.41E-22,4.41E-22,4.41E-22,0.7,4.41E-22,4.41E-22,4.41E-22
99-86-5,0,0,4.87,4.83,0,0,0,0,0,0,0,0,0,2,0.01,0.01,0.2,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12
99-87-6,0,0,4.58,0,0,0,0,0,0,0,3.79,0,0,2.3,0,0,0.23,0,0,0,0,0,0,0,0.34,0,0,0.19
99-96-7,0,0,2.9,0,0,0,0,0,0,0,3.51,0,0,2.87,8.11E-17,8.11E-17,0.96,8.11E-17,8.11E-17,8.11E-17,8.11E-17,8.11E-17,8.11E-17,8.11E-17,0.57,8.11E-17,8.11E-17,0.92
99-99-0,0,0,4.26,0,0,3.22,0,0,0,0,3.79,0,0,0,3.48E-12,3.48E-12,0.48,3.48E-12,3.48E-12,0.45,3.48E-12,3.48E-12,3.48E-12,3.48E-12,0.77,3.48E-12,3.48E-12,3.48E-12
100-00-5,0,0,4.77,4.05,0,0,0,0,0,0,4.51,0,0,0,2.15E-33,2.15E-33,0.74,0.62,2.15E-33,2.15E-33,2.15E-33,2.15E-33,2.15E-33,2.15E-33,1.08,2.15E-33,2.15E-33,2.15E-33
100-01-6,0,0,3.91,2.74,0,6.41,0,0,0,0,3.51,0,0,3.5,0,0,0.28,0.19,0,0.07,0,0,0,0,0.27,0,0,0.27
100-02-7,0,0,4.47,2.6,0,5,0,0,0,5.06,4.52,0,0,2.14,0,0,0.29,0.18,0,0.23,0,0,0,0.22,0.29,0,0,0.11
100-21-0,0,0,4.22,0,0,2.32,0,0,0,1.52,0,0,0,0,0.04,0.04,0.16,0.04,0.04,0.28,0.04,0.04,0.04,0.2,0.04,0.04,0.04,0.04
100-42-5,0,0,4.35,0,0,0,0,0,0,0,5.16,0,0,2.51,0,0,0.29,0,0,0,0,0,0,0,0.2,0,0,0.16
100-47-0,0,0,2.93,0,0,2.41,0,0,0,0,3.65,0,0,0,5.76E-06,5.76E-06,0.64,5.76E-06,5.76E-06,0.41,5.76E-06,5.76E-06,5.76E-06,5.76E-06,0.37,5.76E-06,5.76E-06,5.76E-06
100-51-6,0,0,3.29,0,3.18,0,0,0,0,0,1.62,0,0,3,0,0,0.41,0,0.45,0,0,0,0,0,0.17,0,0,0.49
100-52-7,0,0,0,0,0,2.97,0,0,0,0,2.49,0,0,3.2,1.24E-14,1.24E-14,1.24E-14,1.24E-14,1.24E-14,1.08,1.24E-14,1.24E-14,1.24E-14,1.24E-14,0.61,1.24E-14,1.24E-14,0.76
100-66-3,0,0,3.99,0.47,0,0,0,0,0,0,2.82,0,0,2.44,0.07,0.07,0.15,0.11,0.07,0.07,0.07,0.07,0.07,0.07,0.26,0.07,0.07,0.27
101-05-3,0,0,5.46,4.58,0,0,0,6.78,0,0,5.14,0,0,0,1.30E-08,1.30E-08,0.43,0.27,1.30E-08,1.30E-08,1.30E-08,0.16,1.30E-08,1.30E-08,0.4,1.30E-08,1.30E-08,1.30E-08
101-21-3,0,0,4.76,4.15,0,4.96,0,4.15,0,0,5.29,5.15,0,5.31,2.84E-21,2.84E-21,0.8,0.32,2.84E-21,0.77,2.84E-21,0.32,2.84E-21,2.84E-21,0.52,0.65,2.84E-21,0.5
101-27-9,0,0,5.78,0,5.91,5.05,0,0,0,0,5.71,6.11,0,0,4.30E-45,4.30E-45,0.98,4.30E-45,0.89,0.25,4.30E-45,4.30E-45,4.30E-45,4.30E-45,1,0.61,4.30E-45,4.30E-45
101-42-8,0,0,0,0,0,1.57,0,4.22,0,0,5.34,0,0,0,0.03,0.03,0.03,0.03,0.03,0.11,0.03,0.2,0.03,0.03,0.14,0.03,0.03,0.03
103-65-1,0,0,4.78,0,0,0,0,5.15,0,0,4.82,0,0,0,5.32E-132,5.32E-132,1.58,5.32E-132,5.32E-132,5.32E-132,5.32E-132,1.03,5.32E-132,5.32E-132,1.8,5.32E-132,5.32E-132,5.32E-132
103-69-5,0,0,3.83,0,0,4.23,0,0,0,0,3.74,0,0,0,1.32E-50,1.32E-50,1.42,1.32E-50,1.32E-50,0.81,1.32E-50,1.32E-50,1.32E-50,1.32E-50,1.17,1.32E-50,1.32E-50,1.32E-50
103-82-2,0,0,4.09,0,0,0,0,0,0,0,2.89,0,0,0.34,0.09,0.09,0.14,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.2,0.09,0.09,0.11
103-84-4,2.23,0,0,0,0,0,0,0,0,0,2.66,0,0,-0.48,0.21,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.18,0.16,0.16,0.12
103-90-2,0,0,4.5,2.21,0,0,0,0,0,0,1.82,0,0,1.9,0.04,0.04,0.1,0.3,0.04,0.04,0.04,0.04,0.04,0.04,0.26,0.04,0.04,0.27
104-40-5,0,0,6.91,6.03,5.46,5.68,0,5.77,0,5.91,5.64,0,0,0,2.17E-34,2.17E-34,0.09,0.81,0.53,0.74,2.17E-34,0.8,2.17E-34,0.84,0.71,2.17E-34,2.17E-34,2.17E-34
105-37-3,0,0,2.55,0,0,0,0,0,0,0,2.71,0,0,-0.91,0.15,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.1
105-67-9,0,0,4.71,2.62,0,4.15,0,4.16,0,0,3.96,0,0,0,1.61E-06,1.61E-06,0.31,0.13,1.61E-06,0.49,1.61E-06,0.49,1.61E-06,1.61E-06,0.51,1.61E-06,1.61E-06,1.61E-06
106-44-5,0,0,4.15,1.58,0,2.83,0,0,0,0,4.14,0,0,2.95,0.01,0.01,0.24,0.13,0.01,0.36,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.37
106-46-7,0,0,5.32,4.43,4.97,3.95,0,0,0,0,4.96,0,0,2.84,3.37E-06,3.37E-06,0.27,0.44,0.36,0.39,3.37E-06,3.37E-06,3.37E-06,3.37E-06,0.37,3.37E-06,3.37E-06,0.1
106-47-8,0,0,5.93,2.72,3.47,4.7,0,4.11,0,0,4.76,0,0,2.11,0,0,0.1,0.19,0.28,0.26,0,0.3,0,0,0.25,0,0,0.11
106-48-9,0,0,4.71,4.03,0,4.92,0,3.95,0,0,4.59,0,0,3.43,2.09E-13,2.09E-13,0.52,0.65,2.09E-13,0.37,2.09E-13,0.6,2.09E-13,2.09E-13,0.6,2.09E-13,2.09E-13,0.23
106-49-0,0,0,5.95,0,0,3.03,0,0,0,0,4.44,0,0,3.02,0,0,0.12,0,0,0.21,0,0,0,0,0.28,0,0,0.21
106-51-4,0,0,5.03,0,0,3.39,0,0,0,0,6.13,0,0,3.11,0,0,0.26,0,0,0.22,0,0,0,0,0.14,0,0,0.18
106-89-8,0,0,3.36,3.11,0,0,0,0,0,0,3.85,0,0,0,9.87E-19,9.87E-19,1.03,0.72,9.87E-19,9.87E-19,9.87E-19,9.87E-19,9.87E-19,9.87E-19,0.59,9.87E-19,9.87E-19,9.87E-19
107-02-8,0,0,6.27,5.41,0,0,0,6.01,0,0,6.05,0,0,4.37,1.48E-12,1.48E-12,0.36,0.5,1.48E-12,1.48E-12,1.48E-12,0.46,1.48E-12,1.48E-12,0.44,1.48E-12,1.48E-12,0.14
107-07-3,0,0,2.58,0,0,1.76,0,0,0,0,0,0,0,3.27,0,0,0.53,0,0,0.31,0,0,0,0,0,0,0,0.33
107-10-8,0,0,2.77,0,0,0,0,0,0,0,2.89,0,0,2.06,5.74E-08,5.74E-08,0.81,5.74E-08,5.74E-08,5.74E-08,5.74E-08,5.74E-08,5.74E-08,5.74E-08,0.7,5.74E-08,5.74E-08,0.46
107-11-9,0,0,3.01,0,0,0,0,0,0,0,3.39,0,0,1.14,0.04,0.04,0.3,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.25,0.04,0.04,0.17
107-13-1,0,0,3.86,0,3.75,3.22,0,3.47,0,3.52,0,0,0,0,7.37E-45,7.37E-45,0.8,7.37E-45,1.21,0.62,7.37E-45,1.49,7.37E-45,1.58,7.37E-45,7.37E-45,7.37E-45,7.37E-45
107-15-3,0,0,3.63,1.28,0,0,0,0,0,0,2.78,0,0,1.12,0.06,0.06,0.16,0.25,0.06,0.06,0.06,0.06,0.06,0.06,0.29,0.06,0.06,0.22
107-18-6,0,0,4.07,1.84,0,0,0,4.75,0,0,0,0,0,4.25,0,0,0.3,0.11,0,0,0,0.23,0,0,0,0,0,0.28
107-20-0,3,0,3.72,0,0,0,0,0,0,0,5.15,0,0,0,0.25,0,0.36,0,0,0,0,0,0,0,0.2,0,0,0
107-92-6,0,0,1.65,1.28,0,0,0,0,0,0,2.69,0,0,-0.32,0.18,0.18,0.31,0.32,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.13
108-10-1,0,0,1.81,0.24,0,1.76,0,0,0,0,2,0,0,3.39,0.09,0.09,0.36,0.13,0.09,0.36,0.09,0.09,0.09,0.09,0.35,0.09,0.09,0.14
108-18-9,0,0,2.75,2.4,0,0,0,0,0,0,5.68,0,0,2.03,0.04,0.04,0.23,0.21,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.19
108-39-4,0,0,3.86,2.28,0,2.94,0,0,0,0,2.99,0,0,3.31,4.69E-07,4.69E-07,0.27,0.27,4.69E-07,0.67,4.69E-07,4.69E-07,4.69E-07,4.69E-07,0.68,4.69E-07,4.69E-07,0.64
108-42-9,0,0,5.56,0,0,3.11,0,0,0,0,3.78,0,0,3.88,0,0,0.14,0,0,0.25,0,0,0,0,0.37,0,0,0.37
108-43-0,0,0,3.91,2.57,0,0,0,0,0,0,3.65,0,0,3.79,8.41E-08,8.41E-08,0.5,0.22,8.41E-08,8.41E-08,8.41E-08,8.41E-08,8.41E-08,8.41E-08,0.62,8.41E-08,8.41E-08,0.57
108-68-9,0,0,3.74,3.61,0,3.94,0,0,0,0,0,0,0,0,3.20E-111,3.20E-111,2.37,1.56,3.20E-111,1.37,3.20E-111,3.20E-111,3.20E-111,3.20E-111,3.20E-111,3.20E-111,3.20E-111,3.20E-111
108-70-3,0,0,0,3.2,0,3.78,0,0,0,0,5.04,0,0,3.2,2.97E-05,2.97E-05,2.97E-05,0.36,2.97E-05,0.46,2.97E-05,2.97E-05,2.97E-05,2.97E-05,0.17,2.97E-05,2.97E-05,0.36
108-85-0,0,0,4.85,4.87,0,0,0,0,0,0,4.81,0,0,0,0,0,13.87,9.57,0,0,0,0,0,0,7.86,0,0,0
108-88-3,0,0,4.19,4.1,3.63,4.49,0,4.59,0,4.47,2.58,0,0,1.96,0,0,0.37,0.38,0.41,0.31,0,0.28,0,0.31,0.2,0,0,0.08
108-89-4,2.73,0,0,0,0,2.11,0,0,0,0,0,0,0,0.17,0.22,0.14,0.14,0.14,0.14,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.16
108-90-7,0,0,5.28,2.24,0,0,0,0,0,0,3.95,0,0,2.05,0.02,0.02,0.12,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.24,0.02,0.02,0.18
108-91-8,0,0,3.31,1.49,0,0,0,0,0,0,3.7,0,0,0,0.02,0.02,0.31,0.18,0.02,0.02,0.02,0.02,0.02,0.02,0.26,0.02,0.02,0.02
108-94-1,0,0,2.08,0.79,0,2.35,0,0,0,0,3.47,0,0,0.44,0.11,0.11,0.32,0.23,0.11,0.3,0.11,0.11,0.11,0.11,0.13,0.11,0.11,0.17
108-95-2,0,0,4.35,3.32,4.58,3.2,0,3.21,0,3.42,6.19,0,0,2.85,0,0,0.33,0.32,0.3,0.3,0,0.3,0,0.33,0.04,0,0,0.23
108-98-5,5.2,0,0,0,0,5,0,0,0,0,0,0,0,2.53,0.22,0,0,0,0,0.24,0,0,0,0,0,0,0,0.14
109-57-9,2.75,0,1.67,0,0,0,0,0,0,0,2.07,0,0,0,0.41,0,0.49,0,0,0,0,0,0,0,0.72,0,0,0
109-60-4,0,0,2.51,3.18,0,0,0,0,0,0,2.01,0,0,-1.16,0.14,0.14,0.19,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.2,0.14,0.14,0.07
