compoundName,AmphibianX,BirdsX,CrustaceansX,FishX,InsectX,InvertebratesX,MammalsX,MoluscsX,ReptilesX,WormsX,AlgaeX,FungiX,MossX,FlowerX,AmphibianY,BirdsY,CrustaceansY,FishY,InsectY,InvertebratesY,MammalsY,MoluscsY,ReptilesY,WormsY,AlgaeY,FungiY,MossY,FlowerY
101043-37-2,0,0,5.783059275,0,5.323961125,7.247904147,6.894099402,6.219896662,0,4.286940004,5.06550024,0,0,0,5.831622979,1.04231581,6.10E-08,6.10E-08,0.382330858,6.10E-08,0.339937579,0.152052512,0.227657561,0.357090659,6.10E-08,0.127644758,0.292143385,6.10E-08
101200-48-0,0,2.244842284,3.454010002,2.597024802,0,0,0,0,0,2.888603902,0,0,0,0,2.796120248,0.511507101,2.53E-07,0.436346009,0.341068109,0.723036272,2.53E-07,2.53E-07,2.53E-07,2.53E-07,2.53E-07,0.767290222,2.53E-07,2.53E-07
102851-06-9,0,0,10.91616873,8.742457169,6.935085714,0,0,0,0,0,0,0,0,0,8.864570537,1.993348751,1.02E-05,1.02E-05,0.11784284,0.199761532,0.12527684,1.02E-05,1.02E-05,1.02E-05,1.02E-05,1.02E-05,1.02E-05,1.02E-05
103055-07-8,0,2.407522618,6.961918414,3.844635236,4.896241004,0,0,5.398922446,0,5.436711007,0,0,0,0,4.824325121,1.554373324,0.002077643,0.076629329,0.099697427,0.210422637,0.2563834,0.002077643,0.002077643,0.239707206,0.002077643,0.237492423,0.002077643,0.002077643
103361-09-7,0,2.197233863,6.187688545,5.187688545,0,0,0,0,0,0,0,0,0,0,4.524203651,2.076316762,0.017890964,0.102536057,0.139391104,0.182575801,0.017890964,0.017890964,0.017890964,0.017890964,0.017890964,0.017890964,0.017890964,0.017890964
104040-78-0,0,2.257756949,3.580555689,3.549241627,0,0,0,0,0,0,0,0,0,0,3.129184755,0.754841015,9.80E-05,0.271424776,0.441987623,0.452699119,9.80E-05,9.80E-05,9.80E-05,9.80E-05,9.80E-05,9.80E-05,9.80E-05,9.80E-05
104098-48-8,0,0,3.449922059,3.44549947,2.551693316,0,0,0,0,0,0,0,0,0,3.149038282,0.517320642,6.93E-09,6.93E-09,0.651168551,0.654390494,0.395936823,6.93E-09,6.93E-09,6.93E-09,6.93E-09,6.93E-09,6.93E-09,6.93E-09
104206-82-8,0,2.229578439,5.012094495,3.473703583,2.731957789,0,0,0,0,3.118484028,0,0,0,0,3.313163667,1.056171909,0.002756392,0.223156559,0.10358685,0.373386294,0.324651927,0.002756392,0.002756392,0.002756392,0.002756392,0.371362174,0.002756392,0.002756392
104653-34-1,0,6.31037585,0,7.0244096,4.115504263,0,5.556757976,0,0,0,0,0,0,0,5.751761922,1.244594619,7.38E-06,0.289826301,7.38E-06,0.190035887,0.135070968,7.38E-06,0.316629543,7.38E-06,7.38E-06,7.38E-06,7.38E-06,7.38E-06
107534-96-3,4.625572551,2.189883699,4.638266821,4.844847402,5.393130727,2.391390066,0,0,0,4.431585749,4.31220882,0,0,0,4.103360729,1.165928565,0.309511309,0.08899618,0.307987388,0.279520285,0.18557162,0.116431013,0.000699238,0.000699238,0.000699238,0.328873739,0.336721395,0.000699238
108731-70-0,0,1.96448959,4.31906732,2.830950681,5.867579577,0,0,0,0,0,0,0,0,0,3.745521792,1.716643987,0.021501697,0.135671145,0.219780924,0.20164833,0.10824441,0.021501697,0.021501697,0.021501697,0.021501697,0.021501697,0.021501697,0.021501697
110488-70-5,0,2.287647349,4.070163405,4.796285655,0,0,0,0,0,0,0,0,0,0,3.718032136,1.2908578,0.004881745,0.167265043,0.297764523,0.218033069,0.004881745,0.004881745,0.004881745,0.004881745,0.004881745,0.004881745,0.004881745,0.004881745
111376-59-1,0,0,5.901098274,7.989783965,8.468789364,0,0,0,0,0,0,0,0,0,7.453223868,1.365350481,9.88E-08,9.88E-08,0.15312468,0.270477145,0.221578442,9.88E-08,9.88E-08,9.88E-08,9.88E-08,9.88E-08,9.88E-08,9.88E-08
111755-37-4,0,6.607775689,5.399015313,0,0,0,0,0,0,0,5.080650514,0,0,0,5.695813839,0.805664228,6.94E-12,0.260932901,0.462686361,6.94E-12,6.94E-12,6.94E-12,6.94E-12,6.94E-12,6.94E-12,6.94E-12,0.369962693,6.94E-12
111988-49-9,0,2.101611164,3.458158487,3.922634217,5.60330061,3.774558899,0,5.66784133,0,6.873724459,0,0,0,0,4.485975595,1.628477582,0.005512239,0.083870798,0.200736812,0.230750475,0.193599845,0.22268269,0.005512239,0.188258396,0.005512239,0.083615791,0.005512239,0.005512239
112143-82-5,0,4.621267183,6.223327175,5.773209154,0,0,0,0,0,0,0,0,0,0,5.539267837,0.826253871,8.40E-11,0.260464248,0.342734803,0.463862077,8.40E-11,8.40E-11,8.40E-11,8.40E-11,8.40E-11,8.40E-11,8.40E-11,8.40E-11
